,t,x_earth,y_earth,x_moon,y_moon,x_geo,y_geo
234,469.2857142857143,-93523470.27881005,-117274722.37020445,-93837792.49570085,-117488267.55036278,-93545915.91167697,-117302868.3035733
235,471.29120879120876,-91485300.66001096,-118871526.29266354,-91742442.42165792,-119151308.55517691,-91507257.13216937,-118900055.45897378
236,473.2967032967033,-89419872.82038388,-120432912.21583232,-89606198.92570241,-120764095.82423833,-89441333.58986077,-120461816.11476412
237,475.3021978021978,-87327802.1581157,-121958414.92177981,-87433432.47757317,-122323438.53144269,-87348760.83063366,-121987684.94136104
238,477.3076923076923,-85209712.00967339,-123447579.88404845,-85229045.38911574,-123827087.75015841,-85230162.34055571,-123477207.30322061
239,479.3131868131868,-83066233.46408,-124899963.40308094,-82998244.73157617,-125273831.73853143,-83086169.36011139,-124929939.39429767
240,481.31868131868134,-80898005.17487994,-126315132.73842171,-80746299.5014968,-126663536.79790346,-80917420.6961219,-126345448.37027892
241,483.3241758241758,-78705673.16985129,-127692666.23765261,-78478294.90182419,-127997131.54475507,-78724562.53141205,-127723312.47754966
242,485.3296703296703,-76489890.6585205,-129032153.46202503,-76198896.7576862,-129276535.43696842,-76508248.23227856,-129063121.17885591
243,487.33516483516485,-74251317.83753724,-130333195.30875096,-73912138.54878029,-130504535.35100123,-74269138.15381825,-130364475.27562505
244,489.34065934065933,-71990621.69396801,-131595404.12991627,-71621242.34093365,-131684616.76103944,-72007899.44317457,-131626987.02690744
245,491.34615384615387,-69708475.80656537,-132818403.84798144,-69328483.10174581,-132820758.47829477,-69725205.84075895,-132850280.26490495
246,493.35164835164835,-67405560.14507431,-134001830.0678344,-67035103.584637344,-133917201.8406923,-67421737.47950913,-134033990.50705068
247,495.35714285714283,-65082560.86763386,-135145330.18536282,-64741284.28407994,-134978206.59780627,-65098180.68224209,-135177765.0646073
248,497.3626373626374,-62740170.116334826,-136248563.49251306,-62446170.04447965,-136007806.4412162,-62755227.75716274,-136281263.14775127
249,499.36813186813185,-60379085.81099521,-137311201.2788049,-60147951.900971666,-137009577.14907184,-60393576.791589856,-137344155.9671118
250,501.3736263736264,-58000011.44121282,-138332926.92927155,-57843999.80155983,-137986429.6445884,-58013931.44395871,-138366126.83173457
251,503.3791208791209,-55603655.856760144,-139313436.01879534,-55531039.16191448,-138940438.94691718,-55617000.734165765,-139346871.24343985
252,505.38461538461536,-53190733.05638038,-140252436.4028122,-53205361.87977663,-139872718.0894192,-53203498.83231392,-140286096.9875489
253,507.3901098901099,-50761961.975050636,-141149648.30435643,-50863060.6085838,-140783343.6957344,-50774144.845924646,-141183524.21994948
254,509.3956043956044,-48318066.2697737,-142004804.39742085,-48500273.85650335,-141671337.16464055,-48329662.60567845,-142038885.55047622
255,511.4010989010989,-45859774.10396294,-142817649.8866071,-46113428.90295567,-142534702.4657884,-45870780.4497479,-142851926.1225799
256,513.4065934065934,-43387817.93048518,-143587942.58304235,-43699469.64036565,-143370518.54635695,-43398231.0067885,-143622403.68926227
257,515.4120879120879,-40902934.273424126,-144315452.97654006,-41256057.248162076,-144175081.45267493,-40912750.97764975,-144350088.68525442
258,517.4175824175824,-38405863.50863217,-144999964.3039829,-38781733.04657938,-144944088.6344715,-38415080.91587425,-145034764.29541588
259,519.4230769230769,-35897349.64313379,-145641272.61390775,-36276034.88320161,-145672855.662443,-35905965.00704815,-145676226.5193351
260,521.4285714285714,-33378140.09344719,-146239186.82727355,-33739560.86910405,-146356553.87087435,-33386150.84706962,-146274284.23211208
261,523.434065934066,-30848985.462890543,-146793528.79439327,-31173977.073231146,-146990456.3272784,-30856389.219401635,-146828759.24130392
262,525.4395604395604,-28310639.31793759,-147304133.34801453,-28581968.755264495,-147570179.08926943,-28317433.8713739,-147339486.34001806
263,527.445054945055,-25763857.96369152,-147770848.35253105,-25967137.71111745,-148091904.9585781,-25770041.289602805,-147806313.35613567
264,529.4505494505495,-23209400.2185422,-148193534.74931195,-23333851.16257418,-148552577.87002248,-23214970.474594645,-148229101.1976518
265,531.4560439560439,-20648027.18807541,-148572066.59813446,-20687050.191972006,-148950057.6101531,-20652982.714600552,-148607723.894118
266,533.4615384615385,-18080502.038298536,-148906331.1147081,-18032027.867946837,-149283226.66364536,-18084841.35878773,-148942068.63417563
267,535.467032967033,-15507589.768255498,-149196228.70427892,-15374188.815395528,-149552043.52377924,-15511311.589799877,-149232035.79916793
268,537.4725274725274,-12930056.98209305,-149441672.99130395,-12718802.96670507,-149757539.6419375,-12933160.195768762,-149477538.99282187
269,539.478021978022,-10348671.660648776,-149642590.84518713,-10070766.539821712,-149901760.17944196,-10351155.341847338,-149678505.06698996
